Item_name,Food_group,carb,fat,protein,calories,Unit (portion size),Notes/comments,Fruit,Vegetables,Grain,Protein,Dairy,Sodium,Calcium,Iron,Potassium,Vitamin D
Apple,Fruits,17,0.2,0.3,65,125,grams ,1,0,0,0,0,0.0013,0.0075,0.00015,0.134,0
Eggplant,Vegetables,4.8,0.2,0.8,21,82,grams ,0,1,0,0,0,0.0016,0.00738,0.00019,0.188,0
Rice,Grains,155,1.1,13,702,195,grams ,0,0,1,0,0,0.002,0.01755,0.0085,0.168,0
Egg,Protein,1.8,23,31,350,245,grams ,0,0,0,1,0,0.348,0.1372,0.00429,0.338,4.90E-06
Milk,Dairy,11,7.8,8,146,244,grams ,0,0,0,0,1,0.093,0.30012,0,0.366,2.68E-06
Orange,Fruits,21,0.2,1.7,85,180,grams ,1,0,0,0,0,0,0.072,0.00018,0.326,0
Tomatoes,Vegetables,7,0.4,1.6,32,180,grams ,0,1,0,0,0,0.009,0.018,0.00049,0.427,0
Bread,Grains,20,1.4,3.4,108,40,grams ,0,0,1,0,0,0.191,0.0844,0.00134,0.047,0
"Beef (raw, ground)",Protein,0,14,22,224,113,grams ,0,0,0,1,0,0.077,0.01356,0.00225,0.327,0
"Yogurt (Low fat, plain)",Dairy,12,2.6,8.9,107,170,grams ,0,0,0,0,1,0.119,0.3111,0.00014,0.398,0
Potato,Vegetables,4.7,0,1,22,38,grams ,0,1,0,0,0,0.0038,0.0114,0.00123,0.157,0
Banana,Fruits,51,0.7,2.5,200,225,grams ,1,0,0,0,0,0.0023,0.01125,0.00058,0.806,0
Olive Oil,Protein,0,224,0,1980,224,grams ,0,0,0,1,0,0.0045,0.0024,0.00125,0.0022,0
"Chicken (raw, ground)",Protein,0.1,9.2,20,162,113,grams ,0,0,0,1,0,0.068,0.00678,0.00093,0.59,0
"Fish (raw, carp)",Protein,0,4.8,15,108,85,grams ,0,0,0,1,0,0.042,0.03885,0.00105,0.283,2.10E-05
Cheese ball,Dairy,0.8,5.7,2.7,64,15,grams ,0,0,0,0,1,0.082,0.5895,0.00012,0.03,6.00E-08
oats,Grains,55,5.3,11,307,81,grams ,0,0,1,0,0,0.0049,0.04212,0.00344,0.293,0
Soy beans paste,Protein,5,1,2,35,18,grams ,0,0,0,1,0,0.83,0.01998,0.00072,0,0
Water melon,Fruits,12,0.2,0.9,46,154,grams ,1,0,0,0,0,0.0015,0.01078,0.00037,0.172,0
